Price,Car,Mileage,Ext_color,Int_color,Transmission,Drivetrain
9999,2018 Nissan Versa 1.6 SV,39813.0,Blue,Gray,Automatic,FWD
9293,2012 Ford Fusion SE,47599.0,Blue,Black,Automatic,FWD
7500,2016 Hyundai Accent SE,55405.0,White,Gray,Automatic,FWD
8200,2017 Chevrolet Sonic Premier,57333.0,Silve,Othe,Automatic,FWD
7145,2014 Hyundai Accent GLS,66898.0,Blue,Beige,Automatic,FWD
9995,2014 Cadillac SRX Premium Collection,89615.0,Brown,Beige,Automatic,FWD
9998,2019 Nissan Versa 1.6 SV,12313.0,Black,Black,CVT,FWD
4400,2013 Dodge Dart SXT,81130.0,Red,Black,Manual,FWD
8977,2017 Nissan Altima 2.5 SR,102985.0,White,Blue,CVT,FWD
6000,2015 Nissan Versa 1.6 S,36365.0,Gray,Gray,Manual,FWD
9456,2014 Scion tC Monogram,80507.0,Gray,Gray,Automatic,FWD
9600,2016 Dodge Dart SE,51345.0,Blue,Black,Automatic,FWD
9995,2015 Chrysler 200 S,101106.0,Othe,Othe,Automatic,FWD
9747,2012 Nissan Pathfinder S,108222.0,Silve,Gray,Automatic,RWD
8995,2017 Hyundai Elantra SE,68104.0,White,Gray,Automatic,FWD
9995,2010 Buick Enclave 2XL,115922.0,Red,Beige,Automatic,FWD
8998,2013 Kia Rio LX,73186.0,Red,Gray,Automatic,FWD
8300,2016 Chevrolet Trax LS,48851.0,Silve,Othe,Automatic,FWD
8300,2017 Nissan Sentra SV,56508.0,White,Gray,CVT,FWD
7991,2015 Volkswagen Jetta 1.8T SE,76968.0,White,Othe,Automatic,FWD
8990,2011 Hyundai Tucson Limited,79824.0,White,Beige,Automatic,FWD
7988,2011 Hyundai Elantra GLS,67500.0,Brown,Beige,Automatic,FWD
9995,2016 Dodge Journey SXT,108230.0,Black,Black,Automatic,FWD
8990,2012 Mercedes-Benz C 300 4MATIC Luxury,88789.0,Othe,Silve,Automatic,AWD
8459,2014 Hyundai Elantra SE,50515.0,Gray,Gray,Automatic,FWD
8758,2014 Nissan Altima 2.5 SV,73204.0,Red,Gray,CVT,FWD
6199,2016 Ford Fiesta S,45450.0,White,Black,Automatic,FWD
5899,2013 Honda Civic LX,128321.0,Silve,Gray,Automatic,FWD
8925,2015 Toyota Corolla LE,51223.0,Black,Black,CVT,FWD
9490,2014 Hyundai Tucson GLS,70025.0,Black,Beige,Automatic,FWD
5486,2014 Nissan Versa 1.6 S,46724.0,Black,Gray,Manual,FWD
7588,2013 Hyundai Veloster Base,80496.0,Black,Black,Automatic,FWD
5700,2015 Hyundai Veloster Base,96015.0,Silve,Black,Automatic,FWD
8488,2014 Chevrolet Cruze 1LT,43370.0,Beige,Black,Automatic,FWD
7990,2011 MINI Cooper S Clubman Base,66454.0,Brown,Othe,Other / Unknown,FWD
8990,2017 Kia Rio LX,72522.0,Silve,Beige,Automatic,FWD
6400,2016 Kia Optima LX,119557.0,Silve,Black,Automatic,FWD
7777,2015 Volkswagen Passat 1.8T Limited Edition,83067.0,Black,Gray,Automatic,FWD
9300,2015 Hyundai Elantra Sport,65755.0,Black,Beige,Manual,FWD
8495,2010 Toyota Matrix,43529.0,Red,Gray,Automatic,FWD
9900,2011 Cadillac SRX Premium Collection,95588.0,White,Beige,Automatic,4x4/4-wheel drive
9899,2017 Dodge Journey SXT,81909.0,Silve,Black,Automatic,FWD
9998,2012 Lincoln MKX Base,72920.0,Silve,Black,Automatic,FWD
8298,2016 Kia Soul Base,63731.0,Black,Black,Automatic,FWD
8198,2014 Ford Focus Titanium,52012.0,Silve,Black,Automatic,FWD
8995,2016 Dodge Dart SXT,58111.0,Blue,Black,Automatic,FWD
7500,2013 Mercedes-Benz C 250,89324.0,Othe,Othe,Automatic,RWD
7898,2016 Hyundai Elantra GT Base,68078.0,Silve,Black,Automatic,FWD
3495,2011 Chevrolet Malibu LTZ,80014.0,White,Black,Automatic,FWD
7495,2017 Toyota Corolla SE,24815.0,White,Black,CVT,FWD
7800,2015 Nissan Pathfinder SL,50838.0,Black,Black,CVT,4x4/4-wheel drive
8999,2016 Nissan Sentra SV,38167.0,Gray,Gray,CVT,FWD
8791,2017 Nissan Altima 2.5 S,55661.0,Black,Othe,CVT,FWD
5899,2013 Toyota Corolla L,127401.0,Black,Othe,Automatic,FWD
8500,2014 Buick Regal Turbo Premium II,119256.0,Black,Othe,Automatic,FWD
7991,2016 Toyota Corolla LE,49152.0,Silve,White,Automatic,FWD
9797,2017 Nissan Sentra SV,16329.0,Gray,Gray,CVT,FWD
9991,2019 Chevrolet Cruze LT,36517.0,Gray,Black,Automatic,FWD
